"scandal_id","title","artist","group","date","scandal_type","fandom_size","fandom_size_num","agency_tier","company_response","response_delay_days","apology","international","is_solo","prior_scandal","reaction_spike","label","label_binary","label_confidence","label_reasoning","notes"
19,"B.A.P files lawsuit against TS Entertainment over slave contract","B.A.P","B.A.P","2014-11-27","contract","medium",2,1,0,14,0,1,0,0,6.234,"high","high",4,"Lawsuit caused extended group hiatus and loss of peak-career momentum; group returned but never recaptured previous commercial success.","All six members filed lawsuit alleging unfair contract terms and withheld earnings; group went on long hiatus, never fully recovered momentum"
20,"Sungmin (Super Junior) backlash over surprise marriage announcement","Sungmin","Super Junior","2014-12-13","dating","mega",4,3,1,1,1,0,0,0,3.816,"high","high",4,"Fan boycott campaign successfully excluded Sungmin from group promotions and albums for multiple years despite remaining technically a member.","Surprise marriage announcement upset fans who felt betrayed; sustained fan boycott led to Sungmin being excluded from Super Junior promotions for years"
21,"Suho (EXO) dating rumors with actress persistently denied by SM","Suho","EXO","2015-03-15","dating","mega",4,3,2,1,0,0,0,0,0.512,"low","not_high",4,"Suho's dating scandal -- Persistent dating rumors with actress denied by SM; no confirmation, minor fan concern, no career disruption. With minimal lasting career impact.","Persistent dating rumors with actress denied by SM; no confirmation, minor fan concern, no career disruption"
22,"Taeyang (BIGBANG) dating actress Min Hyo-rin confirmed","Taeyang","BIGBANG","2015-08-28","dating","large",3,3,1,1,0,0,0,0,-0.141,"low","not_high",5,"Taeyang's dating scandal -- Long-term relationship confirmed then marriage in 2018; minimal fan reaction, strong fandom acceptance, no career impact. With minimal lasting career impact.","Long-term relationship confirmed then marriage in 2018; minimal fan reaction, strong fandom acceptance, no career impact"
23,"IU faces lolita concept controversy over Zeze album artwork and lyrics","IU","Solo","2015-10-23","controversy","large",3,1,1,5,0,1,1,1,0.051,"medium","not_high",4,"IU's controversy scandal -- CHAT-SHIRE album accused of sexualizing minors through Zeze concept and Lolita references; IU denied intent, sustained backlash but career continued. Causing temporary career disruption but eventual recovery.","CHAT-SHIRE album accused of sexualizing minors through Zeze concept and Lolita references; IU denied intent, sustained backlash but career continued"
24,"Tzuyu (TWICE) forced to apologize for holding Taiwan flag","Tzuyu","TWICE","2016-01-15","political","mega",4,3,2,3,1,1,0,0,0.283,"medium","not_high",5,"Major international political incident but TWICE's career was not derailed; domestic sympathy actually boosted Korean popularity.","Held Taiwanese flag on Korean TV; Chinese backlash forced JYP to release video of 16-year-old Tzuyu apologizing; became political incident between China and Taiwan"
25,"Kangin (Super Junior) second drunk driving arrest causes group crisis","Kangin","Super Junior","2016-05-23","criminal","large",3,3,1,2,1,0,0,1,2.765,"high","high",5,"Kangin's criminal scandal -- Second drunk driving incident after 2009 hit-and-run; officially left Super Junior in 2019, long-term career damage. Resulting in severe, lasting career damage.","Second drunk driving incident after 2009 hit-and-run; officially left Super Junior in 2019, long-term career damage"
26,"Park Yoochun (JYJ) accused of sexual assault by multiple women","Park Yoochun","JYJ","2016-06-22","criminal","large",3,2,0,7,0,1,0,0,0.217,"high","high",5,"Park Yoochun's criminal scandal -- Four women filed sexual assault charges; career effectively ended, military discharge, left entertainment. Resulting in severe, lasting career damage.","Four women filed sexual assault charges; career effectively ended, military discharge, left entertainment"
27,"Kai (EXO) and Krystal (f(x)) dating scandal confirmed","Kai","EXO","2016-09-27","dating","mega",4,3,1,1,0,1,0,0,-0.0581758013266368,"low","not_high",5,"Dating scandal with minimal severity, mega fandom protection, immediate agency response, low reaction spike, and documented quick recovery within weeks.","SM confirmed relationship, low long-term impact"
28,"Nam Taehyun departs WINNER citing mental health amid controversy","Nam Taehyun","WINNER","2016-11-25","behavior","large",3,3,1,5,0,0,0,0,0.313,"medium","not_high",4,"Departed from major group and Big3 agency; pursued indie music career but never regained equivalent commercial platform.","Left WINNER citing mental health issues amid dating rumors and erratic social media behavior; YG released him from contract"
29,"NCT Taeyong apologizes for school bullying and fraud allegations","Taeyong","NCT","2017-01-10","bullying","mega",4,3,2,1,1,1,0,0,0.107,"medium","not_high",4,"Taeyong's bullying scandal -- Allegations of school bullying and online resale fraud surfaced before NCT debut; SM addressed allegations, Taeyong apologized, remained in group with partial recovery. Causing temporary career disruption but eventual recovery.","Allegations of school bullying and online resale fraud surfaced before NCT debut; SM addressed allegations, Taeyong apologized, remained in group with partial recovery"
30,"T.O.P (BIGBANG) investigated for marijuana use","T.O.P","BIGBANG","2017-06-01","drugs","large",3,3,1,5,1,1,0,1,-0.7692307692307692,"high","high",5,"Marijuana use during mandatory military service resulted in criminal charges, military discharge, and significant career harm including group hiatus and extended absence from public activities.","Marijuana use during mandatory military service"
31,"Lay (EXO) posts pro-China content on social media, faces Korean fan backlash","Lay","EXO","2017-11-01","political","mega",4,3,0,0,0,1,0,0,-0.407,"low","not_high",4,"Lay's political scandal -- Repeatedly posted content supporting Chinese political positions; Korean fanbase shrank but Chinese fanbase remained strong, career continued successfully. With minimal lasting career impact.","Repeatedly posted content supporting Chinese political positions; Korean fanbase shrank but Chinese fanbase remained strong, career continued successfully"
32,"Joy (Red Velvet) faces backlash for displaying feminist book","Joy","Red Velvet","2018-03-08","controversy","mega",4,3,0,0,0,0,0,0,1.876,"low","not_high",5,"Brief online backlash from subset of male fans but broader public support; zero impact on Red Velvet promotions or Joy's career.","Photographed with feminist novel Kim Ji-young Born 1982; faced anti-feminist backlash from some male fans but received wider public support"
33,"Himchan (B.A.P) charged with sexual assault","Himchan","B.A.P","2018-08-01","criminal","medium",2,1,0,5,0,1,0,0,5.263,"high","high",5,"Criminal conviction for sexual assault ended career permanently; compounded existing group instability from contract disputes.","Charged with sexual assault, later convicted; B.A.P already in contract dispute, Himchan's career effectively ended"
34,"Goo Hara files assault and revenge porn charges against ex-boyfriend","Goo Hara","KARA","2018-09-13","criminal","medium",2,2,2,2,0,1,0,0,12.278,"high","high",5,"Goo Hara's criminal scandal -- Ex-boyfriend threatened to release intimate footage; mutual assault charges filed, lengthy court battle, severe mental health toll. Resulting in severe, lasting career damage.","Ex-boyfriend threatened to release intimate footage; mutual assault charges filed, lengthy court battle, severe mental health toll"
35,"Hyuna and E'Dawn dating confirmed, both leave Cube Entertainment","Hyuna","4MINUTE","2018-09-13","dating","medium",2,2,0,0,0,1,0,1,0.4914611005692599,"high","high",4,"Both Hyuna and her partner were terminated from their group/agency despite medium fandom support, representing significant career disruption exceeding typical dating scandal recovery timelines.","Cube tried to deny relationship, both eventually terminated"
36,"BTS Jimin atomic bomb t-shirt causes Japan broadcast ban","Jimin","BTS","2018-11-09","political","mega",4,3,1,3,0,1,0,0,-0.173,"low","not_high",4,"Jimin's political scandal -- Wore t-shirt with atomic bomb imagery; Japanese TV appearance cancelled, Big Hit issued brief statement, ARMY largely defended Jimin, minimal long-term impact. With minimal lasting career impact.","Wore t-shirt with atomic bomb imagery; Japanese TV appearance cancelled, Big Hit issued brief statement, ARMY largely defended Jimin, minimal long-term impact"
37,"Jennie (BLACKPINK) lazy performance controversy","Jennie","BLACKPINK","2019-01-15","behavior","mega",4,3,2,2,0,1,0,0,-0.3723849372384937,"low","not_high",4,"Low-energy performance accusations are minor behavioral issues with immediate agency response, mega fandom protection, and historical precedent for quick recovery in BLACKPINK's case.","Fans accused of low energy during stage performances"
38,"MAMAMOO face backlash for blackface Bruno Mars parody performance","MAMAMOO","MAMAMOO","2019-02-05","controversy","medium",2,2,2,1,1,1,0,1,0.008,"medium","not_high",5,"MAMAMOO's controversy scandal -- Performed in blackface makeup as Bruno Mars tribute; issued swift apology but faced international criticism; recovered domestically faster than internationally. Causing temporary career disruption but eventual recovery.","Performed in blackface makeup as Bruno Mars tribute; issued swift apology but faced international criticism; recovered domestically faster than internationally"
39,"Yong Junhyung (Highlight) leaves group over Burning Sun chat room involvement","Yong Junhyung","Highlight","2019-03-12","criminal","medium",2,2,1,7,1,1,0,0,3.779,"high","high",5,"Yong Junhyung's criminal scandal -- Admitted receiving videos in Burning Sun-linked group chat; left Highlight voluntarily, career significantly disrupted. Resulting in severe, lasting career damage.","Admitted receiving videos in Burning Sun-linked group chat; left Highlight voluntarily, career significantly disrupted"
40,"Jung Joonyoung arrested for secretly filming and sharing sexual videos","Jung Joonyoung","Solo","2019-03-14","criminal","medium",2,1,0,0,1,1,1,0,-0.181,"high","high",5,"Jung Joonyoung's criminal scandal -- Arrested same day as Burning Sun arrests; sentenced to 6 years prison for filming and sharing non-consensual sexual videos in group chat. Resulting in severe, lasting career damage.","Arrested same day as Burning Sun arrests; sentenced to 6 years prison for filming and sharing non-consensual sexual videos in group chat"
41,"Seungri (BIGBANG) arrested in connection with Burning Sun club scandal","Seungri","BIGBANG","2019-03-14","criminal","large",3,3,1,14,1,1,0,1,0.4561350618028339,"high","high",5,"Seungri faced criminal charges, imprisoned sentence, permanent group departure, and complete career termination due to sex trafficking allegations in the Burning Sun scandal—the most severe outcome category.","Burning Sun nightclub scandal, sex trafficking allegations"
42,"Choi Jonghoon (FT Island) convicted in Burning Sun chatroom scandal","Choi Jonghoon","FT Island","2019-03-14","criminal","medium",2,2,0,7,0,1,0,0,0.89,"high","high",5,"Criminal conviction and prison sentence for Burning Sun involvement; permanent career termination and group departure.","Convicted for involvement in Burning Sun group chat, bribery of police to cover up drunk driving, sentenced to 5 years"
43,"PSY questioned over association with YG Entertainment during Burning Sun era","PSY","Solo","2019-04-01","controversy","mega",4,3,1,3,0,1,1,0,0.434,"low","not_high",4,"Questioned as witness only with no charges filed; departure from YG was already planned; career continued unaffected through P-Nation.","Questioned by police as witness in Burning Sun investigation due to YG connection; not charged, left YG to start own label P-Nation"
44,"Yeri (Red Velvet) faces attitude controversy after variety show appearances","Yeri","Red Velvet","2019-04-01","behavior","mega",4,3,0,0,0,0,0,0,-1.753,"low","not_high",5,"Minor attitude perception issue that faded quickly without any agency response; no impact on Red Velvet activities or Yeri's career.","Criticized for perceived rude behavior during variety show appearances; SM did not respond, controversy faded within weeks"
45,"Hwasa (MAMAMOO) criticized for eating raw octopus on TV near Buddhist holiday","Hwasa","MAMAMOO","2019-05-15","controversy","large",3,2,0,0,0,0,0,0,-2.207,"low","not_high",5,"Brief niche criticism that actually boosted variety show popularity; zero negative career impact.","Ate raw octopus on I Live Alone near Buddhist holiday; minor religious criticism but most viewers found it entertaining"
46,"B.I (iKON) exits group after drug purchase allegations surface","B.I","iKON","2019-06-12","drugs","large",3,3,0,0,1,1,0,0,3.616,"high","high",5,"B.I's drugs scandal -- Drug purchase chat logs leaked; B.I voluntarily left iKON and YG before charges filed, major career disruption. Resulting in severe, lasting career damage.","Drug purchase chat logs leaked; B.I voluntarily left iKON and YG before charges filed, major career disruption"
47,"Lee Jonghyun (CNBLUE) admitted to sharing illegal hidden camera footage","Lee Jonghyun","CNBLUE","2019-06-12","criminal","medium",2,2,1,3,1,1,0,0,3.73,"high","high",5,"Admitted involvement in illegal chatroom content sharing; permanent group departure and complete withdrawal from entertainment.","Admitted to viewing and sharing illegally filmed footage in chatroom linked to Burning Sun scandal; left CNBLUE and entertainment industry"
48,"Amber (f(x)) publicly criticizes SM Entertainment treatment of artists","Amber","f(x)","2019-08-01","contract","medium",2,3,0,0,0,1,0,0,-0.143,"medium","not_high",4,"Amber's contract scandal -- Publicly expressed frustration about lack of support from SM for solo activities; eventually left SM after contract expiry, international fanbase fragmented. Causing temporary career disruption but eventual recovery.","Publicly expressed frustration about lack of support from SM for solo activities; eventually left SM after contract expiry, international fanbase fragmented"
49,"Jihyo (TWICE) confirmed dating Kang Daniel by Dispatch","Jihyo","TWICE","2019-08-05","dating","mega",4,3,2,0,0,1,0,0,-4.24,"low","not_high",5,"Dating news quickly confirmed and accepted; TWICE's strong group identity and JYP's swift response prevented any career disruption.","Dispatch revealed relationship with Kang Daniel; JYP confirmed, fan reaction was mixed but brief, no impact on TWICE promotions"
50,"Shownu (MONSTA X) linked to relationship with married woman","Shownu","MONSTA X","2019-10-28","dating","large",3,2,1,1,0,0,0,0,-3.613,"medium","not_high",4,"Temporary controversy and lost some endorsements but remained group leader; public accepted his claim of not knowing marital status.","Tabloid reported relationship with woman whose husband filed adultery complaint; Shownu claimed he did not know she was married, agency denied wrongdoing"
51,"Kim Woojin leaves Stray Kids under unclear circumstances with allegations","Kim Woojin","Stray Kids","2019-10-28","behavior","large",3,3,0,1,0,1,0,0,-0.652,"medium","not_high",4,"Left major group and agency; attempted solo career with independent label but never achieved comparable success.","Sudden departure from Stray Kids with JYP citing personal reasons; later faced anonymous sexual misconduct allegations he denied and sued over"
52,"Stray Kids Han investigated for alleged marijuana use before group debut","Han","Stray Kids","2019-10-28","drugs","large",3,3,2,1,1,1,0,0,0.613,"medium","not_high",4,"Han's drugs scandal -- Investigated for alleged pre-debut marijuana use; JYP issued statement, Han apologized and went on temporary hiatus, returned after investigation cleared him. Causing temporary career disruption but eventual recovery.","Investigated for alleged pre-debut marijuana use; JYP issued statement, Han apologized and went on temporary hiatus, returned after investigation cleared him"
53,"Wonho (MONSTA X) leaves group amid bullying and drug allegations","Wonho","MONSTA X","2019-10-31","bullying","medium",2,2,0,21,1,1,0,0,-0.7692307692307692,"high","high",5,"Wonho left MONSTA X voluntarily following bullying allegations compounded by prior theft and drug allegations, resulting in sustained career disruption exceeding 1+ years despite medium fandom support and delayed agency response.","Past theft + drug allegations, left group voluntarily"
54,"CL struggles with career after leaving YG Entertainment","CL","2NE1","2019-11-30","contract","large",3,3,0,0,0,1,0,0,-0.68,"medium","not_high",4,"Years of career stagnation under YG followed by difficult independent rebuild; eventually returned but never regained 2NE1-era commercial heights.","Left YG after years of shelved music and stalled US expansion; career significantly impacted by YG mismanagement, eventually rebuilt as independent artist"
55,"Lee Hi leaves YG Entertainment after years of inactivity","Lee Hi","Solo","2019-12-31","contract","medium",2,3,0,0,0,0,1,0,3.028,"low","not_high",4,"Departure was mutual and expected after years of agency neglect; career actually improved after moving to AOMG with more frequent releases.","Left YG after contract expiry following years of shelved comebacks; signed with AOMG and career improved significantly"
56,"Momo (TWICE) and Heechul (Super Junior) confirmed dating","Momo","TWICE","2020-01-02","dating","mega",4,3,2,0,0,1,0,0,-1.444,"low","not_high",5,"Age gap drew brief online discussion but both agencies confirmed smoothly; no impact on either artist's career trajectory.","Dispatch New Year couple reveal; both agencies confirmed, age gap drew some criticism but no lasting controversy"
57,"Chen (EXO) surprise marriage and baby announcement controversy","Chen","EXO","2020-01-13","dating","mega",4,3,1,5,0,1,0,0,5.516129032258065,"low","not_high",4,"Chen's marriage announcement faced initial backlash but EXO's mega fandom provided strong protection, agency responded within 5 days, and he remained in the group without major career harm, resolving within months.","Surprise marriage + baby announcement, fans demanded removal"
58,"Ryujin (ITZY) sparks debate after recommending feminist literature","Ryujin","ITZY","2020-03-01","controversy","large",3,3,0,0,0,0,0,0,-5.741,"low","not_high",5,"Generated online debate but public support outweighed criticism; zero impact on ITZY promotions or Ryujin's career.","Recommended feminist book on broadcast; sparked gender debate among fans but received widespread public support"
59,"Kim Jaejoong posts fake COVID-19 positive announcement as April Fool prank","Kim Jaejoong","JYJ","2020-04-01","controversy","large",3,2,1,1,1,1,0,1,2.313,"medium","not_high",5,"Kim Jaejoong's controversy scandal -- Posted fake COVID diagnosis as April Fool joke during pandemic; faced massive backlash, reported to police, lost endorsements but recovered. Causing temporary career disruption but eventual recovery.","Posted fake COVID diagnosis as April Fool joke during pandemic; faced massive backlash, reported to police, lost endorsements but recovered"
60,"Solar (MAMAMOO) criticized for darkening skin in YouTube video","Solar","MAMAMOO","2020-06-01","controversy","large",3,2,1,2,1,1,0,1,4.622,"low","not_high",4,"Second instance for MAMAMOO but handled quickly with apology and content edit; domestic career unaffected, minor international reputation impact.","Used dark skin makeup in YouTube video; international fans criticized as blackface, Solar apologized, video was edited"
61,"Jimin (AOA) bullying allegations from ex-member Mina","Jimin AOA","AOA","2020-07-03","bullying","medium",2,2,1,3,1,1,0,1,13.096774193548388,"high","high",5,"Jimin left AOA following 10 years of bullying allegations from ex-member Mina, resulting in permanent career impact and group departure despite delayed agency response.","10 years of bullying alleged by ex-member Mina, Jimin left group"
62,"Suga (BTS) Hitler sample controversy in mixtape","Suga","BTS","2020-08-06","controversy","mega",4,3,2,1,1,1,0,0,0.0782999904278738,"low","not_high",5,"Swift immediate apology, minimal reaction spike (-0.079), mega fandom protection, and historical recovery pattern from similar sample controversies indicate quick resolution without lasting career damage.","Jim Jones speech sample in mixtape, swift apology"
63,"Bang Chan (Stray Kids) criticized for playing song by problematic artist on vlive","Bang Chan","Stray Kids","2020-09-01","controversy","large",3,3,0,0,1,1,0,0,-1.754,"low","not_high",5,"Minor livestream incident resolved within days through personal apology; no career impact whatsoever.","Played snippet of song by artist with sexual misconduct allegations on personal livestream; apologized quickly, controversy resolved within days"
64,"Chanyeol (EXO) infidelity and relationship allegations","Chanyeol","EXO","2020-10-09","behavior","mega",4,3,0,30,0,1,0,1,3.225806451612903,"medium","not_high",4,"Cheating allegations with delayed company response and international attention typically generate 6-12 month recovery period for mega-fandom idols, though severity and mega-fandom protection prevent career-ending consequences.","Ex-girlfriend posted cheating allegations publicly"
65,"Irene (Red Velvet) apologizes for rude behavior towards stylist","Irene","Red Velvet","2020-10-21","behavior","large",3,3,1,7,1,1,0,0,3.225806451612903,"medium","not_high",4,"Delayed agency response to verified verbal abuse allegations against a major group member created sustained backlash, but strong fandom support and lack of criminal/employment consequences suggest recovery within typical 6-12 month window.","Verbal abuse towards fashion editor/stylist"
66,"Chungha tests positive for COVID-19 amid promotional activities","Chungha","Solo","2020-12-07","controversy","medium",2,2,2,0,0,0,1,0,1.58,"low","not_high",5,"Public largely sympathetic; comeback was delayed but career resumed normally once recovered.","Tested positive during comeback promotions; some criticism for continuing schedules, but largely received public sympathy"
67,"BTOB Ilhoon quits group after police investigation for marijuana use","Ilhoon","BTOB","2020-12-17","drugs","medium",2,2,1,3,1,0,0,0,10.685,"high","high",5,"Ilhoon's drugs scandal -- Investigated and fined for marijuana use; left BTOB immediately, received suspended sentence, long hiatus from industry. Resulting in severe, lasting career damage.","Investigated and fined for marijuana use; left BTOB immediately, received suspended sentence, long hiatus from industry"
68,"Nancy (MOMOLAND) illegally photographed backstage, images leaked","Nancy","MOMOLAND","2021-02-01","behavior","medium",2,1,2,2,0,1,0,0,1.041,"medium","not_high",4,"Nancy was the victim; public sympathy was strong but incident contributed to group's declining activities and MOMOLAND's broader struggles.","Staff at awards show secretly photographed Nancy changing backstage (she was victim); images spread online, agency pursued legal action"
69,"Hyunjin (Stray Kids) school bullying allegations and hiatus","Hyunjin","Stray Kids","2021-02-22","bullying","large",3,3,2,2,1,1,0,0,1.072,"medium","not_high",5,"Three-month hiatus with missed promotions, but strong agency response and personal apology enabled full group return.","Former classmates alleged school bullying; JYP investigated, Hyunjin personally apologized, went on 3-month hiatus then returned to group"
70,"Mingyu (SEVENTEEN) faces school bullying allegations, apologizes","Mingyu","SEVENTEEN","2021-02-24","bullying","large",3,3,2,2,1,1,0,0,0.857,"medium","not_high",4,"Mingyu's bullying scandal -- Former classmate alleged bullying behavior; Mingyu issued personal apology, Pledis clarified some allegations were false, career recovered within months. Causing temporary career disruption but eventual recovery.","Former classmate alleged bullying behavior; Mingyu issued personal apology, Pledis clarified some allegations were false, career recovered within months"
71,"Wooseok (Pentagon) departs following school bullying allegations","Wooseok","Pentagon","2021-02-26","bullying","medium",2,2,1,3,1,0,0,0,-0.257,"high","high",4,"Wooseok's bullying scandal -- Multiple former classmates alleged school bullying; Wooseok left Pentagon and enlisted in military amid ongoing controversy. Resulting in severe, lasting career damage.","Multiple former classmates alleged school bullying; Wooseok left Pentagon and enlisted in military amid ongoing controversy"
72,"April bullying allegations lead to group disbandment","April","April","2021-03-02","bullying","medium",2,1,0,30,0,0,0,0,0.735,"high","high",5,"April's bullying scandal -- Former member Hyunjoo publicly alleged severe bullying by group members; DSP Media failed to act, group effectively disbanded. Resulting in severe, lasting career damage.","Former member Hyunjoo publicly alleged severe bullying by group members; DSP Media failed to act, group effectively disbanded"
73,"NCT Johnny private Zoom call with female fans becomes public controversy","Johnny","NCT","2021-04-07","dating","mega",4,3,2,1,0,1,0,0,-0.009,"low","not_high",4,"Johnny's dating scandal -- Private live call with female fans leaked; no romantic relationship involved, SM clarified, controversy resolved within weeks with no career impact. With minimal lasting career impact.","Private live call with female fans leaked; no romantic relationship involved, SM clarified, controversy resolved within weeks with no career impact"
74,"GFRIEND surprise disbandment by Source Music / HYBE","GFRIEND","GFRIEND","2021-05-22","contract","large",3,3,0,0,0,1,0,0,2.446,"medium","not_high",4,"Group disbanded but members continued individual careers at other agencies; not career-ending but group entity permanently lost.","Source Music (HYBE subsidiary) announced members would not renew contracts; fans blamed agency for sudden disbandment of successful group"
